LOCATION,ADDRESS,CITY,ZIP,X,Y
"3101 BRIDGEWAY DRIVE  WEST LAFAYETTE, IN  TIPPECANOE CO",3101 BRIDGEWAY DRIVE,WEST LAFAYETTE,,,
"I-65 SOUTH BOUND, MILE MARKER 53.2. NOTE BOTH THE MEDIAN AND EAST SIDE OF I-65 S IMPACTED.",,,,,
"701 CASINO CENTER DR  HAMMOND, IN  46320  LAKE COUNTY",701 CASINO CENTER DR,HAMMOND,46320,,
"2243 SR 43  SPENCER, IN  MORGAN CO",2243 SR 43,SPENCER,,,
NOBLE CO  KENDALLVILLE  COMMERCE DRIVE   ABOUT 200 FEET NORTH OF US 6   WEST SIDE OF ROAD,,KENDALLVILLE,,,
"8310 SR 3  ROYERTON, IN  DELAWARE COUNTY",8310 SR 3,ROYERTON,,,
"ON THE RIPRAP OF LAKE MICHIGAN  WILLMATTE, IL  COOK COUNTY",,WILLMATTE,,,
"5390 E 750 N  LOGANSPORT, IN  CASS CO",5390 E 750 N,LOGANSPORT,,,
4155 S INDIANAPOLIS ROAD  WHITESTOWN  BOONE COUNTY,4155 S INDIANAPOLIS ROAD,WHITESTOWN,,,
1802 JOHNRUE AVE  MICHIGAN CITY  LAPORTE COUNTY,1802 JOHNRUE AVE,MICHIGAN CITY,,,
"904 ASSEMBLY DRIVE  JEFFERSONVILLE, IN  CLARK COUNTY",904 ASSEMBLY DRIVE,JEFFERSONVILLE,,,
"20265 CR 20  GOSHEN, IN   ELKHART COUNTY",20265 CR 20,GOSHEN,,,
0.25 MILE WEST OF INTERSECTION OF HOOSIER HEARTLAND CORRIDOR AND CR 450 N  BUCK CREEK/TIPPECANOE COUNTY,HOOSIER HEARTLAND CORRIDOR AND CR 450 N,BUCK CREEK,,,
KOSCIUSKO SUBSTATION  203 TOOR STREET  WARSAW  KOSCIUSKO COUNTY,203 TOOR STREET,WARSAW,,,
"3424 S SADLIER DRIVE  INDIANAPOLIS, IN  MARION COUNTY",3424 S SADLIER DRIVE,INDIANAPOLIS,,,
